iter	Passed	Remaining
0	693	692795
1	695	347096
2	697	231778
3	701	174738
4	703	140050
5	705	116912
6	707	100400
7	709	88032
8	712	78424
9	716	70958
10	718	64617
11	720	59325
12	722	54856
13	724	51013
14	726	47687
15	730	44905
16	732	42333
17	733	40043
18	736	38005
19	737	36157
20	739	34487
21	741	32977
22	746	31695
23	748	30430
24	750	29258
25	752	28180
26	754	27181
27	756	26261
28	760	25473
29	762	24662
30	764	23899
31	766	23187
32	768	22521
33	770	21894
34	774	21351
35	776	20787
36	778	20250
37	779	19745
38	781	19265
39	783	18808
40	788	18453
41	791	18052
42	793	17670
43	796	17308
44	798	16950
45	800	16606
46	803	16285
47	805	15975
48	807	15676
49	809	15389
50	812	15111
51	815	14871
52	818	14618
53	820	14372
54	822	14134
55	824	13899
56	826	13671
57	830	13490
58	832	13280
59	834	13073
60	836	12881
61	838	12689
62	840	12504
63	845	12361
64	847	12189
65	849	12018
66	851	11853
67	853	11693
68	854	11535
69	858	11410
70	860	11262
71	862	11117
72	864	10980
73	866	10847
74	869	10717
75	873	10620
76	875	10494
77	877	10372
78	879	10255
79	881	10142
80	884	10030
81	888	9942
82	889	9824
83	892	9727
84	894	9627
85	896	9528
86	898	9430
87	902	9355
88	905	9263
89	907	9171
90	909	9082
91	911	8995
92	913	8909
93	917	8845
94	919	8760
95	921	8679
96	923	8598
97	925	8518
98	927	8440
99	931	8386
100	933	8311
101	935	8238
102	937	8167
103	939	8096
104	942	8029
105	946	7985
106	949	7922
107	951	7859
108	953	7796
109	956	7735
110	961	7699
111	963	7642
112	966	7583
113	968	7526
114	970	7470
115	975	7434
116	977	7376
117	979	7324
118	982	7277
119	985	7226
120	989	7191
121	992	7140
122	994	7091
123	996	7042
124	999	6995
125	1004	6966
126	1006	6916
127	1008	6869
128	1010	6824
129	1012	6778
130	1015	6733
131	1019	6703
132	1021	6660
133	1024	6618
134	1026	6578
135	1028	6535
136	1033	6509
137	1035	6468
138	1037	6427
139	1039	6387
140	1041	6347
141	1043	6304
142	1047	6277
143	1049	6240
144	1051	6201
145	1054	6165
146	1056	6129
147	1058	6094
148	1062	6069
149	1064	6034
150	1067	5999
151	1069	5966
152	1071	5932
153	1074	5902
154	1076	5869
155	1078	5836
156	1081	5804
157	1083	5773
158	1085	5742
159	1090	5722
160	1091	5687
161	1093	5657
162	1095	5627
163	1098	5598
164	1100	5570
165	1104	5550
166	1106	5521
167	1109	5493
168	1111	5465
169	1113	5437
170	1116	5412
171	1119	5390
172	1122	5364
173	1124	5336
174	1126	5310
175	1129	5286
176	1135	5277
177	1137	5251
178	1139	5226
179	1141	5202
180	1144	5177
181	1148	5160
182	1150	5136
183	1152	5112
184	1154	5087
185	1156	5062
186	1159	5041
187	1163	5023
188	1165	5000
189	1167	4977
190	1169	4954
191	1172	4932
192	1176	4918
193	1178	4895
194	1180	4872
195	1182	4850
196	1184	4827
197	1186	4805
198	1190	4789
199	1192	4768
200	1194	4747
201	1196	4726
202	1198	4705
203	1200	4685
204	1204	4670
205	1206	4650
206	1208	4629
207	1210	4608
208	1212	4588
209	1214	4570
210	1217	4553
211	1220	4536
212	1222	4517
213	1225	4499
214	1227	4480
215	1229	4462
216	1233	4450
217	1235	4431
218	1237	4412
219	1239	4393
220	1241	4374
221	1243	4356
222	1245	4338
223	1247	4323
