iter	Passed	Remaining
0	2	208
1	3	187
2	5	188
3	8	199
4	10	197
5	12	199
6	14	197
7	16	193
8	18	188
9	20	184
10	22	179
11	23	174
12	25	170
13	27	169
14	29	165
15	31	163
16	33	162
17	35	160
18	37	157
19	38	155
20	41	155
21	43	153
22	45	152
23	48	152
24	50	150
25	52	149
26	54	148
27	57	147
28	59	146
29	62	145
30	64	143
31	66	141
32	68	139
33	70	137
34	73	136
35	75	135
36	78	133
37	80	130
38	82	128
39	84	126
40	86	124
41	88	122
42	90	120
43	92	117
44	93	114
45	95	112
46	97	110
47	99	107
48	101	105
49	102	102
50	104	100
51	106	98
52	108	95
53	109	93
54	111	91
55	113	89
56	115	86
57	116	84
58	118	82
59	120	80
60	121	77
61	123	75
62	125	73
63	127	71
64	128	69
65	132	68
66	134	66
67	136	64
68	138	62
69	140	60
70	141	57
71	143	55
72	145	53
73	147	51
74	148	49
75	150	47
76	153	45
77	155	43
78	157	41
79	158	39
80	161	37
81	162	35
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	181	17
91	183	15
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	196	4
98	198	2
99	201	0
